,timestamp,open,high,low,close,volume,exchange
0,2025-04-06 21:00:00,6.229e-06,6.331e-06,6.225e-06,6.284e-06,73371738187.0,kucoin
1,2025-04-06 22:00:00,6.284e-06,6.379e-06,6.22e-06,6.252e-06,68970181711.55888,kucoin
2,2025-04-06 23:00:00,6.25e-06,6.371e-06,6.159e-06,6.33e-06,63927255804.46575,kucoin
3,2025-04-07 00:00:00,6.33e-06,6.351e-06,6.249e-06,6.325e-06,49718071771.27391,kucoin
4,2025-04-07 01:00:00,6.336e-06,6.49e-06,6.316e-06,6.366e-06,70512534695.0,kucoin
5,2025-04-07 02:00:00,6.362e-06,6.378e-06,6.231e-06,6.267e-06,39246714783.0,kucoin
6,2025-04-07 03:00:00,6.27e-06,6.275e-06,6.008e-06,6.101e-06,84138384084.0,kucoin
7,2025-04-07 04:00:00,6.102e-06,6.204e-06,6.047e-06,6.175e-06,47930987948.0,kucoin
8,2025-04-07 05:00:00,6.19e-06,6.271e-06,6.146e-06,6.224e-06,54781150404.0,kucoin
9,2025-04-07 06:00:00,6.223e-06,6.282e-06,5.708e-06,5.802e-06,243050456063.0,kucoin
10,2025-04-07 07:00:00,5.809e-06,6.024e-06,5.807e-06,5.888e-06,86857121589.0,kucoin
11,2025-04-07 08:00:00,5.89e-06,6.154e-06,5.85e-06,6.084e-06,140758854944.0,kucoin
12,2025-04-07 09:00:00,6.083e-06,6.136e-06,6.007e-06,6.038e-06,69203468229.0,kucoin
13,2025-04-07 10:00:00,6.038e-06,6.207e-06,6.03e-06,6.063e-06,50389902132.0,kucoin
14,2025-04-07 11:00:00,6.057e-06,6.121e-06,5.981e-06,6.033e-06,56401832365.0,kucoin
15,2025-04-07 12:00:00,6.038e-06,6.245e-06,5.997e-06,6.213e-06,102807987332.0,kucoin
16,2025-04-07 13:00:00,6.219e-06,6.53e-06,6.061e-06,6.448e-06,267651887617.0,kucoin
17,2025-04-07 14:00:00,6.451e-06,6.789e-06,6.301e-06,6.452e-06,345770926685.2032,kucoin
18,2025-04-07 15:00:00,6.441e-06,6.49e-06,6.303e-06,6.428e-06,108754464773.0,kucoin
19,2025-04-07 16:00:00,6.429e-06,6.459e-06,6.298e-06,6.322e-06,88873348860.0,kucoin
20,2025-04-07 17:00:00,6.329e-06,6.551e-06,6.329e-06,6.512e-06,100940020988.0,kucoin
21,2025-04-07 18:00:00,6.514e-06,6.572e-06,6.471e-06,6.494e-06,51814255272.240776,kucoin
22,2025-04-07 19:00:00,6.493e-06,6.575e-06,6.439e-06,6.465e-06,58301595566.0,kucoin
23,2025-04-07 20:00:00,6.468e-06,6.556e-06,6.468e-06,6.535e-06,13933142015.0,kucoin
